name,adjcore,independent,breaking,score,base-score,score-difference,score-variance,feedback,view-feedback,prize
Judge A,,,,6.7,0,6.7,,,View 0feedbacks,
Judge B,,,,8.2,0,8.2,3.3,,View 3feedbacks,
Judge C,,,,7.6,0,7.6,,,View 0feedbacks,
Judge D,,,,7.8,0,7.8,2.9,,View 3feedbacks,
Judge E,,,,9,0,9,2.9,,View 3feedbacks,2
Judge F,,,,7.4,0,7.4,2.9,,View 3feedbacks,
Judge G,,,,8.7,0,8.7,,,View 0feedbacks,3
Judge H,,,,9.1,0,9.1,2.5,,View 3feedbacks,1
Judge I,,,,7.6,0,7.6,2.3,,View 3feedbacks,
Judge J,,,,8.7,0,8.7,,,View 0feedbacks,3
